TITOLO,ISSN
AMERICAN POLITICS RESEARCH,1532-673X
AMERICAN QUARTERLY,0003-0678
AMERICAN QUARTERLY,1080-6490
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,0275-0740
AMERICAN SOCIOLOGICAL REVIEW,0003-1224
AMICA SOFIA,2039-456X
AMMENTU,2240-7596
AMMINISTRARE,0044-8141
AMMINISTRATIV@MENTE,2036-7821
AMMINISTRAZIONE CIVILE,1122-0635
AMMINISTRAZIONE IN CAMMINO,2038-3711
AMMINISTRAZIONE ITALIANA,0303-9722
AMNIS,1764-7193
ANABASES,1774-4296
"ANALE - UNIVERSITATEA ""TIBISCUS"" TIMISOARA. SERIA STIINTE ECONOMICE",1582-2680
ANALECTA MALACITANA,0211-934X
"ANALELE STIINTIFICE ALE UNIVERSITATII ""AL.I. CUZA"" DIN IASI. SOCIOLOGIE SI ASISTENTA SOCIALA",2065-3131
"ANALELE STIINTIFICE ALE UNIVERSITATII ""AL.I. CUZA"" DIN IASI. SOCIOLOGIE SI ASISTENTA SOCIALA",2066-8961
ANALELE UNIVERSITĂŢII DIN CRAIOVA,1841-8325
ANALES DE ESTUDIOS ECONÓMICOS Y EMPRESARIALES,0213-7569
ANALES DE LA CATEDRA FRANCISCO SUAREZ,0008-7750
ANÁLISE SOCIAL,0003-2573
ANÀLISI,0211-2175
ANALISI E DIRITTO,1126-5779
ANALISI GIURIDICA DELL'ECONOMIA,1720-951X
ANALISI STORICA,1120-0618
ANALYSE & KRITIK,0171-5860
ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,1529-7489
ANANKE,1129-8219
ANATOLIA AN INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY,1303-2917
ANFIONE E ZETO,0394-8021
ANGELAKI,0969-725X
ANGEWANDTE SOZIALFORSCHUNG,1025-5788
ANGLISTICA AION AN INTERDISCIPLINARY JOURNAL,2035-8504
ANNALES,0353-8281
ANNALES,0395-2649
ANNALES BENJAMIN CONSTANT,0263-7383
ANNALES DE BRETAGNE ET DES PAYS DE L'OUEST,0399-0826
ANNALES DE LA SOCIETE JEAN-JACQUES ROUSSEAU,0259-6563
ANNALES DES MINES. GERER ET COMPRENDRE,0295-4397
ANNALES DES PONTS ET CHAUSSEES,0152-9668
ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,0003-4436
ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,1952-403X
ANNALES INTERNATIONALES DE CRIMINOLOGIE,0003-4452
ANNALES UNIVERSITATIS APULENSIS. SERIES PAEDAGOGICA-PSYCHOLOGICA,1582-5558
ANNALES. ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE,1408-5348
ANNALI - FONDAZIONE GIUSEPPE DI VITTORIO,1123-1408
ANNALI - FONDAZIONE LELIO E LISLI BASSO-ISSOCO,0392-0003
ANNALI ARETINI,1126-232X
ANNALI DEL DIPARTIMENTO DI FILOSOFIA,0394-5073
ANNALI DEL DIPARTIMENTO DI FILOSOFIA,1824-3770
ANNALI DEL DIPARTIMENTO DI STORIA,2239-3285
"ANNALI DEL DIPARTIMENTO DI STUDI GEOECONOMICI, LINGUISTICI, STATISTICI, STORICI PER L'ANALISI REGIONALE",.
ANNALI DEL SEMINARIO GIURIDICO,1593-3903
ANNALI DELLA FACOLTÀ DI ECONOMIA DI BENEVENTO,.
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA,1125-8713
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA DELL'UNIVERSITÀ DI SASSARI,.
ANNALI DELLA FACOLTA DI LINGUE E LETTERATURE STRANIERE DELL'UNIVERSITA' DI SASSARI,1592-7679
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE DELL'UNIVERSITÀ DI CAGLIARI,1125-8470
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE UNIVERSITÀ DEGLI STUDI DI CATANIA,2038-1328
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE UNIVERSITÀ DEGLI STUDI DI CATANIA,2039-4934
ANNALI DELLA FONDAZIONE GIULIO PASTORE,.
ANNALI DELLA FONDAZIONE LUIGI EINAUDI,0531-9870
ANNALI DELLA FONDAZIONE MARIANO RUMOR,1828-4493
ANNALI DELLA FONDAZIONE UGO LA MALFA,1826-8854
ANNALI DELLA FONDAZIONE UGO SPIRITO,1121-1903
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X
ANNALI DELL'ISTITUTO DI FILOSOFIA,.
ANNALI DELL'ISTITUTO ITALIANO PER GLI STUDI STORICI,0578-9931
ANNALI DELL'ISTITUTO STORICO ITALO-GERMANICO IN TRENTO,0392-0011
ANNALI DELL'ISTITUTO SUPERIORE DI SANITÀ,0021-2571
ANNALI DELL'ISTITUTO UGO LA MALFA,0394-1752
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE LETTERE,1594-7424
ANNALI DI CA' FOSCARI,1125-3762
ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITÀ,1120-9135
ANNALI DI SCIENZE RELIGIOSE,.
ANNALI DI SOCIOLOGIA,0066-2275
ANNALI DI SOCIOLOGIA,0394-2120
ANNALI DI STORIA DELLE UNIVERSITÀ ITALIANE,1127-8250
ANNALI DI STORIA DELL'EDUCAZIONE E DELLE ISTITUZIONI SCOLASTICHE,1723-9672
ANNALI DI STORIA DELL'ESEGESI,1120-4001
ANNALI DI STORIA DELL'IMPRESA,1120-9445
ANNALI DI STORIA DI FIRENZE,1827-6946
ANNALI DI STORIA MODERNA E CONTEMPORANEA,1124-0296
ANNALI D'ITALIANISTICA,0741-7527
ANNALI ONLINE DELL'UNIVERSITÀ DI FERRARA. SEZIONE LETTERE,1826-803X
"ANNALI. DIPARTIMENTO DI SCIENZE GIURIDICO-SOCIALI E DELL'AMMINISTRAZIONE DELL'UNIVERSITÀ DEGLI STUDI DELMOLISE",1590-1491
ANNALI. ISTITUTO UNIVERSITARIO ORIENTALE NAPOLI,0393-3180
ANNALI. ISTITUTO UNIVERSITARIO ORIENTALE. ANGLISTICA,1125-1077
ANNALI-ISTITUTO SUOR ORSOLA BENINCASA,2037-5859
ANNALI-UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA,2037-5867
ANNALS OF FAMILY MEDICINE,1544-1709
ANNALS OF FINANCE,1614-2446
ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,0002-7162
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,0004-5608
ANNALS OF TOURISM RESEARCH,0160-7383
ANNUAIRE DE L'AFRIQUE DU NORD,0066-2607
ANNUAIRE DU DROIT DE LA MER,1283-8381
ANNUAL REVIEW OF ITALIAN SOCIOLOGY,.
ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE,1550-3585
ANNUAL REVIEW OF POLITICAL SCIENCE,1094-2939
ANNUAL REVIEW OF SOCIOLOGY,0360-0572
ANNUAL REVIEW OF THE SOCIOLOGY OF RELIGION,1877-5233
ANNUARIO DI DIRITTO COMPARATO E DI STUDI LEGISLATIVI,2039-9871
ANNUARIO DIRECOM,1660-4032
ANNUARIO FILOSOFICO,0394-1809
ANOS 90,0104-236X
ANTHROPOLOGICA,2239-6160
ANTHROPOLOGICAL NOTEBOOKS,1408-032X
ANTHROPOLOGY TODAY,0268-540X
ANTHROPOS,0257-9774
ANTHROPOS & IATRIA,1720-609X
ANTHROPOS & IATRIA,1720-6103
ANTHROPOTES,1120-2874
ANTÍGONA,1887-6862
ANTÍTESES,1984-3356
ANTROPO,1578-2603
ANTROPOLOGIA,2281-4043
ANUARIO AMERICANISTA EUROPEO,1767-3623
ANUARIO DA FACULTADE DE DEREITO DA UNIVERSIDADE DA CORUÑA,1138-039X
ANUARIO DE ESTUDIOS AMERICANOS,0210-5810
ANUARIO DE ESTUDIOS AMERICANOS,1988-4273
ANUARIO DE HISTORIA DE LA IGLESIA,1133-0104
ANUARIO DE HOJAS DE WARMI,1136-3401
ANUARIO IEHS,0326-9671
ANUÁRIO INTERNACIONAL DE COMUNICAÇÃO LUSÓFONA,1807-9474
ANUARUL INSTITUTULUI ITALO-ROMÂN DE STUDII ISTORICE,1841-012X
APERTURE,2037-2558
APHEX,2036-9972
APLIMAT - JOURNAL OF APPLIED MATHEMATICS,1337-6365
APPETITE,0195-6663
APPLIED ECONOMICS LETTERS,1350-4851
APPLIED PHYSICS LETTERS,0003-6951
APPLIED RESEARCH IN QUALITY OF LIFE,1871-2584
APPUNTI,1120-5725
APPUNTI DI POLITICA TERRITORIALE,.
APUNTES FILOSÓFICOS,1316-7553
AQUINAS,0003-7362
ARAB HISTORICAL REVIEW FOR OTTOMAN STUDIES,0330-8081
ARAB LAW QUARTERLY,0268-0556
ARABICA,0570-5398
ARAUCARIA,1575-6823
ARCHÉ,2035-5564
ARCHITECTURAL DESIGN,0003-8504
ARCHITETTURA DEL PAESAGGIO,1125-0259
ARCHIV FÜR SOZIALGESCHICHTE,0066-6505
ARCHIV ORIENTÁLNÍ,0044-8699
ARCHIVAL SCIENCE,1389-0166
ARCHIVES DE PHILOSOPHIE,0003-9632
ARCHIVES DE SCIENCES SOCIALES DES RELIGIONS,0335-5985
ARCHIVES D'HISTOIRE DOCTRINALE ET LITTERAIRE DU MOYEN AGE,0373-5478
ARCHIVES EUROPEENNES DE SOCIOLOGIE,0003-9756
ARCHIVES OF GERONTOLOGY AND GERIATRICS,0167-4943
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,0003-9993
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,1532-821X
ARCHIVES OF SEXUAL BEHAVIOR,0004-0002
ARCHIVI & COMPUTER,1121-2462
ARCHIVIO DELLA SOCIETÀ ROMANA DI STORIA PATRIA,0391-6952
ARCHIVIO DI ETNOGRAFIA,1826-9125
ARCHIVIO DI FILOSOFIA,0004-0088
ARCHIVIO DI STORIA DELLA CULTURA,1124-0059
ARCHIVIO DI STUDI URBANI E REGIONALI,0004-0177
ARCHIVIO NISSENO,1974-3416
ARCHIVIO PENALE,0004-0304
ARCHIVIO PER LA STORIA DELLE DONNE,.
ARCHIVIO PER LA STORIA POSTALE. COMUNICAZIONI E SOCIETÀ,1591-2329
ARCHIVIO PER L'ANTROPOLOGIA E LA ETNOLOGIA,0373-3009
ARCHIVIO STORICO DEL SANNIO,1122-3022
ARCHIVIO STORICO DELL'EMIGRAZIONE ITALIANA,1973-3461
ARCHIVIO STORICO DI BELLUNO FELTRE E CADORE,0392-2065
ARCHIVIO STORICO E GIURIDICO SARDO DI SASSARI,.
ARCHIVIO STORICO ITALIANO,0391-7770
ARCHIVIO STORICO LOMBARDO,0392-0232
ARCHIVIO STORICO MESSINESE,1122-701X
ARCHIVIO STORICO PER LA CALABRIA E LA LUCANIA,0004-0355
ARCHIVIO STORICO PER LE PROVINCE NAPOLETANE,0392-0267
ARCHIVIO STORICO PUGLIESE,0392-0054
ARCHIVIO STORICO SARDO,2037-5514
ARCHIVIO STORICO TICINESE,0004-0371
ARCHIVIO TRENTINO,1125-8225
ARCHIVIO TRENTINO DI STORIA CONTEMPORANEA,1120-4184
ARCHIVIO VENETO,0392-0291
ARCHIVIUM HIBERNICUM,0044-8745
ARCHIVO DOMINICANO,0211-5255
ARCHIVO TEOLOGICO GRANADINO,0210-1629
ARCHIVUM HISTORIAE PONTIFICIAE,0066-6785
ARCHPHOTO,1971-0739
ARCVISION,.
AREA,0004-0894
ARENA JOURNAL,1320-6567
ARETÉ,1016-913X
ARETÈ,2039-5558
ARGOMENTI,1125-9116
ARKETIPO,1828-4450
ARMED FORCES & SOCIETY,0095-327X
ARQUIVOS DA MEMÓRIA,0874-1123
ARS INTERPRETANDI: RIVISTA DI ERMENEUTICA GIURIDICA,1722-8352
ARSP. ARCHIV. FUR RECHTS- UND SOZIALPHILOSOPHIE,0001-2343
ARTE E STORIA,2235-7769
ARTIFICIAL INTELLIGENCE AND LAW,0924-8463
ASIA EUROPE JOURNAL,1610-2932
ASIA MAIOR,2385-2526
ASIA PACIFIC JOURNAL OF EDUCATION,0218-8791
ASIAN CINEMA,1059-440X
ASIAN COMMUNICATION RESEARCH,1738-2084
ASIAN CULTURE AND HISTORY,1916-9655
ASIAN JOURNAL OF POLITICAL SCIENCE,0218-5377
ASIAN JOURNAL OF SOCIAL SCIENCE,1568-4849
ASIAN SOCIAL WORK AND POLICY REVIEW,1753-1403
ASIAN STUDIES REVIEW,1035-7823
ASIAN STUDIES REVIEW,1467-8403
ASIAN SURVEY,0004-4687
ASIA-PACIFIC REVIEW,1343-9006
ASIATICA VENETIANA,1126-5256
ASSISTENZA INFERMIERISTICA E RICERCA,1592-5986
"ÄSTHETIK UND KOMMUNIKATION",0341-7212
ATENE E ROMA,0004-6493
ATENEO VENETO,0004-6558
ATHENEA DIGITAL,1578-8946
ATLANTIDE,1825-2168
ATQUE,1120-9364
"ATTI - ISTITUTO VENETO DI SCIENZE, LETTERE ED ARTI. CLASSE DI SCIENZE MORALI, LETTERE ED ARTI",0392-1336
"ATTI DELLA ACCADEMIA PELORITANA DEI PERICOLANTI. CLASSE DI SCIENZE GIURIDICHE, ECONOMICHE E POLITICHE",.
"ATTI DELLA ACCADEMIA ROVERETANA DEGLI AGIATI. CLASSE DI SCIENZE UMANE, LETTERE ED ARTI",1122-6064
ATTI DELLA SOCIETÀ LIGURE DI STORIA PATRIA,2037-7134
ATTI DELL'ACCADEMIA DI SCIENZE MORALI E POLITICHE,1121-9270
ATTI DELL'ACCADEMIA PONTANIANA,1121-9238
"ATTI E MEMORIE DELLA ACCADEMIA PETRARCA DI LETTERE, ARTI E SCIENZE",0393-2397
ATTI E MEMORIE DELLA SOCIETÀ DALMATA DI STORIA PATRIA,0393-5566
"ATTI E MEMORIE DELL'ACCADEMIA GALILEIANA DI SCIENZE, LETTERE ED ARTI. PARTE III. MEMORIE DELLA CLASSE DISCIENZE MORALI, LETTERE ED ARTI",1592-1751
"ATTI E MEMORIE. MEMORIE SCIENTIFICHE, GIURIDICHE, LETTERARIE. ACCADEMIA NAZIONALE DI SCIENZE LETTERE EARTI DI MODENA",1724-0174
AUFKLÄRUNG,0178-7128
AUGMENTATIVE AND ALTERNATIVE COMMUNICATION,0743-4618
AURORA,1575-5045
AURORA,1982-6672
AUS POLITIK UND ZEITGESCHICHTE,0479-611X
AUSTRALIAN AND NEW ZEALAND JOURNAL OF EUROPEAN STUDIES,1837-2147
AUSTRALIAN FEMINIST STUDIES,0816-4649
AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,1035-7718
AUSTRALIAN JOURNAL OF LEGAL PHILOSOPHY,1440-4982
AUSTRALIAN JOURNAL OF POLITICAL SCIENCE,1036-1146
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,0313-6647
AUSTRALIAN SOCIAL WORK,0312-407X
AUT AUT,0005-0601
AUTONOMIE LOCALI E SERVIZI SOCIALI,0392-2278
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,1387-2532
AVATAR. DISLOCAZIONI TRA ANTROPOLOGIA E COMUNICAZIONE,1724-4870
AXIOMATHES,1572-8390
AZAFEA,0213-3563
AZIJSKE IN AFRISKE STUDIJE,1408-5429
B@BELONLINE.NET,1828-5899
BABEL,0521-9744
BARNABITI STUDI,1594-3445
BASIC INCOME STUDIES,1932-0183
"BDC. BOLLETTINO DEL DIPARTIMENTO DI CONSERVAZIONE DEI BENI ARCHITETTONICI ED AMBIENTALI DELL'UNIVERSITÀDEGLI STUDI DI NAPOLI",1121-2918
BEHAVIORAL SCIENCES & THE LAW,0735-3936
BEHEMOTH,.
BELFAGOR,0005-8351
BELPHÉGOR,1499-7185
BELTEL,2037-4194
BENGAL PAST AND PRESENT,0005-8807
BÉRÉNICE,1128-7047
BERLINER JOURNAL FUR SOZIOLOGIE,0863-1808
BESTUURSWETENSCHAPPEN,0165-7194
BETWEEN,2039-6597
BIBLIOTECA DELLA LIBERTÀ,0006-1654
BIBLIOTECA DELLA LIBERTÀ,2035-5866
BIBLIOTECA ELETTRONICA SU MONTESQUIEU E DINTORNI,2035-5769
BIBLIOTHÈQUE D'HUMANISME ET RENAISSANCE,0006-1999
BIBLIOTIME,1128-3564
BIFURCACIONES,0718-1132
BILDUNG UND ERZIEHUNG,0006-2456
BIOARCHITETTURA,1824-050X
BIODEMOGRAPHY AND SOCIAL BIOLOGY,1948-5565
BIOESSAYS,0265-9247
BIOETHICS,0269-9702
BIO-ETHOS,1972-6341
BIOETICA,1122-2344
BIOSECURITY AND BIOTERRORISM,1538-7135
BIOSOCIETIES,1745-8552
BJCJ. BRITISH JOURNAL OF COMMUNITY JUSTICE,1475-0279
BLOOM,2035-5033
BMC HEALTH SERVICES RESEARCH,1472-6963
BMS. BULLETIN DE METHODOLOGIE SOCIOLOGIQUE,0759-1063
BOLETIM GAÚCHO DE GEOGRAFIA,0101-7888
"BOLETÍN DE LA REAL ACADEMIA DE CÓRDOBA DE CIENCIAS, BELLAS LETRAS Y NOBLES ARTES",0034-060X
BOLETÍN DE PSICOLOGÍA,0212-8179
BOLETÍN DEL INSTITUTO DE HISTORIA ARGENTINA Y AMERICANA DR. EMILIO RAVIGNANI,1850-2563
BOLETIN MEXICANO DE DERECHO COMPARADO,0041-8633
BOLLETTINO DEL CENTRO DI STUDI VICHIANI,0392-7334
BOLLETTINO DELLA DOMUS MAZZINIANA,0012-5385
BOLLETTINO DELLA SOCIETÀ DI STUDI VALDESI,0037-8739
BOLLETTINO DELLA SOCIETÀ FILOSOFICA ITALIANA,1129-5643
BOLLETTINO DELLA SOCIETÀ GEOGRAFICA ITALIANA,1121-7820
BOLLETTINO DELLA SOCIETÀ PAVESE DI STORIA PATRIA,2239-2254
"BOLLETTINO DELLA SOCIETÀ PER GLI STUDI STORICI, ARCHEOLOGICI ED ARTISTICI DELLA PROVINCIA DI CUNEO",0392-0402
BOLLETTINO DELL'ARCHIVIO DELL'UFFICIO STORICO,2037-4577
BOLLETTINO DI ITALIANISTICA,0168-7298
BOLLETTINO FILOSOFICO,1593-7178
BOLLETTINO STORICO DELLA SVIZZERA ITALIANA,0006-6869
BOLLETTINO STORICO PIACENTINO,0006-6591
BOLLETTINO STORICO PISANO,0391-1780
BOLLETTINO STORICO VERCELLESE,0391-4550
BOLLETTINO STORICO-BIBLIOGRAFICO SUBALPINO,0391-6715
BOLLETTINO STUDI SARTRIANI,1970-7983
BOLLETTINO TELEMATICO DI FILOSOFIA POLITICA,1591-4305
BONE,1873-2763
BONE,8756-3282
BOOKS & IDEAS.NET,2114-074X
BRAIN INJURY,0269-9052
BRITISH FOOD JOURNAL,0007-070X
BRITISH JOURNAL FOR THE HISTORY OF PHILOSOPHY,0960-8788
BRITISH JOURNAL OF CRIMINOLOGY,0007-0955
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,0007-1080
BRITISH JOURNAL OF MIDDLE EASTERN STUDIES,1353-0194
BRITISH JOURNAL OF POLITICAL SCIENCE,0007-1234
BRITISH JOURNAL OF POLITICAL SCIENCE,1469-2112
BRITISH JOURNAL OF POLITICS AND INTERNATIONAL RELATIONS,1467-856X
BRITISH JOURNAL OF SOCIAL WORK,0045-3102
BRITISH JOURNAL OF SOCIAL WORK,1468-263X
BRITISH JOURNAL OF SOCIOLOGY,0007-1315
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,0142-5692
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,1465-3346
BRITISH POLITICS,1746-918X
BRITISH POLITICS,1746-9198
BROCAR,1885-8309
BRUNIANA & CAMPANELLIANA,1125-3819
BRUNIANA & CAMPANELLIANA,1724-0441
BRYN MAWR CLASSICAL REVIEW,1063-2948
"BULETINUL CENTRULUI, MUZEULUI ŞI ARHIVEI ISTORICE A EVREILOR DIN ROMÂNIA",1453-8725
BULLETIN,1662-7326
BULLETIN DE L'ASSOCIATION DE GÉOGRAPHES FRANÇAIS,0004-5322
BULLETIN DE L'INSTITUT INTERNATIONAL DE STATISTIQUE,0074-8609
BULLETIN DE L'INSTITUT PIERRE RENOUVIN,1775-4305
BULLETIN OF ITALIAN POLITICS,1759-3077
BULLETIN OF LATIN AMERICAN RESEARCH,0261-3050
BULLETIN OF LATIN AMERICAN RESEARCH,1470-9856
BULLETIN OF MEDICAL ETHICS,0962-9564
"BULLETIN OF SCIENCE, TECHNOLOGY & SOCIETY",0270-4676
BULLETIN OF TANZANIAN AFFAIRS,0952-2948
BULLETIN OF THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES,0041-977X
"BULLETIN OF THE TRANSILVANIA UNIVERSITY OF BRASOV. SERIES III, MATHEMATICS, INFORMATICS, PHYSICS",2065-2151
BULLETIN OF THE TRANSILVANIA UNIVERSITY OF BRASOV. SERIES VI. MEDICAL SCIENCES,2065-2216
BULLETIN OF THE TRANSILVANIA UNIVERSITY OF BRASOV. SERIES VII SOCIAL SCIENCES. LAW,2066-7701
BULLETIN. ASSOCIATION OF CONCERNED AFRICA SCHOLARS,2330-0310
BULLETTIN EUROPÉEN,0407-8438
BULLETTINO DELL'ISTITUTO STORICO ITALIANO PER IL MEDIO EVO,1127-6096
BUSINESS AND ECONOMIC HISTORY ON-LINE,1941-7349
BUSINESS AND POLITICS,1469-3569
BYZANTINA SYMMEIKTA,.
C.I.R.I.E.C. ESPAÑA,0213-8093
CADERNOS CERU,1413-4519
CADERNOS DE ARQUITETURA E URBANISMO,1413-2095
CADERNOS DE ESTUDOS AFRICANOS,1645-3794
CADERNOS METRÓPOLE,1517-2422
CADMO,1122-5165
CAHIERS CRITIQUES DE THERAPIE FAMILIALE ET DE PRATIQUES DE RESEAUX,1372-8202
CAHIERS D'ASIE CENTRALE,1270-9247
CAHIERS DE CIVILISATION MÉDIÉVALE,0007-9731
CAHIERS DE LA MÉDITERRANÉE,0395-9317
CAHIERS DE LA RECHERCHE ARCHITECTURALE ET URBAINE,1296-4077
CAHIERS DE NARRATOLOGIE,1765-307X
CAHIERS DE PRAXÉMATIQUE,0765-4944
CAHIERS DE PRAXÉMATIQUE,2111-5044
CAHIERS D'ETUDES AFRICAINES,0008-0055
CAHIERS D'HISTOIRE,1271-6669
CAHIERS DI SCIENZE SOCIALI,2284-1350
CAHIERS DU CENTRE DE RECHERCHES HISTORIQUES,0990-9141
CAHIERS DU GENRE,1298-6046
CAHIERS DU GRM,1775-3902
CAHIERS DU MIMMOC,1951-6789
CAHIERS PARISIENS,1776-2650
CAHIERS SIMONE WEIL,0181-1126
CAHIER-SOCIÉTÉ HISTORIQUE ACADIENNE,0049-1098
CAIETE DE ANTROPOLOGIE ISTORICA,1583-2562
CALCIFIED TISSUE INTERNATIONAL,0171-967X
CALIFORNIA ITALIAN STUDIES,2155-7926
CAMBIO,2239-1118
CAMBRIDGE ANTHROPOLOGY,0305-7674
