SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
14/A1,AUT AUT,0005-0601,.
14/A1,CITES,1299-5495,.
14/A1,CONSTELLATIONS,1351-0487,.
14/A1,DER STAAT,0038-884X,.
14/A1,DIACRITICS,0300-7162,.
14/A1,DIOGENES,0392-1921,.
14/A1,DIOGENES (ENGLISH ED. ONLINE),1467-7695,.
14/A1,ECONOMICS AND PHILOSOPHY,0266-2671,.
14/A1,ETHICS,0014-1704,.
14/A1,ETHICS,1539-297X,.
14/A1,ETHICS & GLOBAL POLITICS,1654-4951,.
14/A1,EUROPEAN JOURNAL OF POLITICAL THEORY,1474-8851,.
14/A1,EUROPEAN JOURNAL OF POLITICAL THEORY,1741-2730,.
14/A1,EUROPEAN JOURNAL OF SOCIAL THEORY,1368-4310,.
14/A1,FILOSOFIA E QUESTIONI PUBBLICHE,1591-0660,.
14/A1,FILOSOFIA POLITICA,0394-7297,.
14/A1,HISTORY OF POLITICAL THOUGHT,0143-781X,.
14/A1,HOBBES STUDIES,0921-5891,.
14/A1,IRIDE,1122-7893,.
14/A1,JOURNAL OF APPLIED PHILOSOPHY,0264-3758,.
14/A1,JOURNAL OF HUMAN DEVELOPMENT,1464-9888,.
14/A1,JOURNAL OF HUMAN RIGHTS,1475-4835,.
14/A1,JOURNAL OF POLITICAL PHILOSOPHY,0963-8016,.
14/A1,JOURNAL OF POLITICAL PHILOSOPHY,1467-9760,.
14/A1,KANT-STUDIEN,0022-8877,.
14/A1,LA SOCIETÀ DEGLI INDIVIDUI,1590-7031,.
14/A1,NOTIZIE DI POLITEIA,1128-2401,.
14/A1,PHILOSOPHY,0031-8191,.
14/A1,PHILOSOPHY,1469-817X,.
14/A1,PHILOSOPHY & PUBLIC AFFAIRS,0048-3915,.
14/A1,PHILOSOPHY & SOCIAL CRITICISM,0191-4537,.
14/A1,PHILOSOPHY & SOCIAL CRITICISM,1461-734X,.
14/A1,POLITICA & SOCIETÀ,.,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
14/A1,POLITICA & SOCIETÀ,2240-7901,.
14/A1,POLITICAL STUDIES,0032-3217,.
14/A1,POLITICAL STUDIES,1467-9248,.
14/A1,QUADERNI DI SCIENZA POLITICA,1124-7959,.
14/A1,RAGION PRATICA,1720-2396,.
14/A1,SOCIAL CHOICE AND WELFARE,0176-1714,.
14/A1,STORIA DEL PENSIERO POLITICO,2279-9818,.
14/A1,TEORIA POLITICA,0394-1248,.
14/A1,THE TOCQUEVILLE REVIEW,0730-479X,.
14/A1,THEORY CULTURE & SOCIETY,0263-2764,.
14/A1,"THEORY, CULTURE & SOCIETY",1460-3616,.
14/A2,ACTA POLITICA,0001-6810,.
14/A2,ADMINISTRATION & SOCIETY,0095-3997,.
14/A2,ADMINISTRATION IN SOCIAL WORK,0364-3107,.
14/A2,ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,.
14/A2,AFRICAN AFFAIRS,0001-9909,.
14/A2,AFRICAN AFFAIRS,1468-2621,.
14/A2,AIDS AND BEHAVIOR,1090-7165,.
14/A2,ALTERNATIVES,0304-3754,.
14/A2,AMERICAN BEHAVIORAL SCIENTIST,0002-7642,.
14/A2,AMERICAN JOURNAL OF EVALUATION,1098-2140,.
14/A2,AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,.
14/A2,AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853,.
14/A2,AMERICAN JOURNAL OF POLITICAL SCIENCE,1540-5907,.
14/A2,AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,.
14/A2,AMERICAN POLITICS RESEARCH,1532-673X,.
14/A2,AMERICAN REVIEW OF PUBLIC ADMINISTRATION,0275-0740,.
14/A2,ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,1529-7489,.
14/A2,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,0002-7162,.
14/A2,ANNUAL REVIEW OF POLITICAL SCIENCE,1094-2939,.
14/A2,ARCHIVES OF SEXUAL BEHAVIOR,0004-0002,.
14/A2,ARMED FORCES & SOCIETY,0095-327X,.
14/A2,ASIAN JOURNAL OF POLITICAL SCIENCE,0218-5377,.
14/A2,ASIAN STUDIES REVIEW,1035-7823,.
14/A2,ASIAN STUDIES REVIEW,1467-8403,.
14/A2,AUS POLITIK UND ZEITGESCHICHTE,0479-611X,.
14/A2,AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,1035-7718,.
14/A2,AUSTRALIAN JOURNAL OF POLITICAL SCIENCE,1036-1146,.
14/A2,AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,0313-6647,.
14/A2,BIOSECURITY AND BIOTERRORISM,1538-7135,.
14/A2,BRITISH JOURNAL FOR THE HISTORY OF PHILOSOPHY,0960-8788,.
14/A2,BRITISH JOURNAL OF MIDDLE EASTERN STUDIES,1353-0194,.
14/A2,BRITISH JOURNAL OF POLITICAL SCIENCE,0007-1234,.
14/A2,BRITISH JOURNAL OF POLITICAL SCIENCE,1469-2112,.
14/A2,BRITISH JOURNAL OF POLITICS AND INTERNATIONAL RELATIONS,1467-856X,.
14/A2,BRITISH POLITICS,1746-918X,.
14/A2,BRITISH POLITICS,1746-9198,.
14/A2,CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,0955-7571,.
14/A2,CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,1474-449X,.
14/A2,CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES- REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION,0825-0383,.
14/A2,CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,0008-4239,.
14/A2,CHINA & WORLD ECONOMY,1749-124X,.
14/A2,CITIZENSHIP STUDIES,1362-1025,.
14/A2,CITIZENSHIP STUDIES,1469-3593,.
14/A2,CIVIL WARS,1369-8249,.
14/A2,CLIMATE POLICY,1469-3062,.
14/A2,COMMON MARKET LAW REVIEW,0165-0750,.
14/A2,COMMUNIST AND POST-COMMUNIST STUDIES,0967-067X,.
14/A2,COMPARATIVE ECONOMIC STUDIES,0888-7233,.
14/A2,COMPARATIVE EDUCATION,0305-0068,.
14/A2,COMPARATIVE EDUCATION,1360-0486,.
14/A2,COMPARATIVE EDUCATION REVIEW,0010-4086,.
14/A2,COMPARATIVE EUROPEAN POLITICS,1472-4790,.
14/A2,COMPARATIVE EUROPEAN POLITICS,1740-388X,.
14/A2,COMPARATIVE POLITICAL STUDIES,0010-4140,.
