TITOLO,ISSN
AD PARNASSUM,1722-3954
ADAM SMITH REVIEW,1743-5285
ADAMANTIUS,1126-6244
ADAPTIVE BEHAVIOR,1059-7123
ADDICTIVE BEHAVIORS,0306-4603
ADULT EDUCATION QUARTERLY,0741-7136
ADULT EDUCATION QUARTERLY,1552-3047
ADULTITÀ,2239-5288
ADVANCED ROBOTICS,0169-1864
ADVANCED SCIENCE LETTERS,1936-6612
ADVANCED TECHNOLOGY FOR LEARNING,1710-2251
ADVANCED THERAPIES,2281-485X
ADVANCES AND APPLICATIONS IN STATISTICS,0972-3617
ADVANCES IN AGING RESEARCH,.
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,0188-7009
ADVANCES IN COMPUTER SCIENCE AND ENGINEERING,0973-6999
ADVANCES IN MATHEMATICAL SCIENCES AND APPLICATIONS,1343-4373
ADVANCES IN PHYSICAL EDUCATION,2164-0386
ADVANCES IN THERAPY,0741-238X
AEC,1825-893X
AEDON,1127-1345
AEGYPTUS,0001-9046
AEGYPTUS,1827-7888
AEIT,1825-828X
AEROSPACE SCIENCE AND TECHNOLOGY,1270-9638
AES,.
AESTHETICA. PRE-PRINT,0393-8522
AESTHETICS,0289-0895
AESTIMUM,1592-6117
AETHIOPICA,1430-1938
AEVUM,0001-9593
AEVUM,1827-787X
AEVUM ANTIQUUM,1121-8932
AFERS,0213-1471
AFFARI ESTERI,0001-964X
AFRICA,0001-9720
AFRICA,0001-9747
AFRICA,1750-0184
AFRICA DEVELOPMENT,0850-3907
AFRICA E MEDITERRANEO,1121-8495
AFRICA TODAY,0001-9887
AFRICA YEARBOOK,1871-2525
AFRICAN AFFAIRS,0001-9909
AFRICAN ARTS,0001-9933
AFRICAN DIASPORA,1872-5457
AFRICAN ENTOMOLOGY,1021-3589
AFRICAN JOURNAL OF EDUCATION AND DEVELOPMENTAL STUDIES,0794-5760
AFRICANA,1592-9639
AFRICHE E ORIENTI,1592-6753
AFRIKASPECTRUM,0002-0397
AFRO-ÁSIA,0002-0591
AFT,1120-205X
AG-ABOUT GENDER,2279-5057
AGALMA,1723-0284
AGATHOS,2069-1025
AGE,0161-9152
AGEING AND SOCIETY,0144-686X
AGEING INTERNATIONAL,0163-5158
AGGRESSIVE BEHAVIOR,0096-140X
AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667
AGOGE,1827-5494
AGON,2384-9045
AGORA,0211-6642
AGORA,0800-7136
"ÁGORA FILOSÓFICA",1679-5385
AGORA INTERNATIONAL JOURNAL OF ECONOMICAL SCIENCE,2067-3310
AGORA INTERNATIONAL JOURNAL OF JURIDICAL SCIENCES,1843-570X
AGORA STUDII,1584-2428
"AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",0167-8809
AGROINDUSTRIA,1724-9015
AI & SOCIETY,0951-5666
AI COMMUNICATIONS,0921-7126
AIB STUDI,2239-6152
AIB STUDI,2280-9112
AIDA INFORMAZIONI,1121-0095
AIIA NOTIZIE,.
"AION ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO EDEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA",1128-7209
AIRIES,1567-9896
AIS / DESIGN. STORIA E RICERCHE,2281-7603
AISTHESIS,2035-8466
AITIA,1775-4275
AJIDD AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,2036-220X
AJMR AMERICAN JOURNAL ON MENTAL RETARDATION,1721-3959
AJS REVIEW,0364-0094
ALBA POMPEIA,0394-9427
ALBERTIANA,1126-9588
ALCOHOL AND ALCOHOLISM,0735-0414
ALCORES,1886-8770
ALEPH,0146-6097
ALEPH: HISTORICAL STUDIES IN SCIENCE AND JUDAISM,1565-1525
ALESSANDRIA,2279-7033
ALETHEIA,1413-0394
ALETHEIA,1887-0929
ALFABETA2,2038-663X
ALFABETA2,2038-7318
ALGEBRA AND LOGIC,0002-5232
ALGEBRA AND LOGIC,1573-8302
ALGEBRA UNIVERSALIS,0002-5240
ALHUCEMA,1139-9139
ALLEGORIA,1122-1887
ALLGEMEINE ZEITSCHRIFT FUER PHILOSOPHIE,0340-7969
ALLIAGE,1144-5645
ALMAGEST,1792-2593
ALMANACCO STORICO OSSOLANO,.
ALMATOURISM,2036-5195
AL-MUKHATABAT,1737-6432
ALPHA OMEGA,1126-8557
AL-QANTARA,0211-3589
ALTAMURA,0569-1346
ALTER,1875-0672
ALTER: REVUE DE PHÉNOMÉNOLOGIE,1287-3896
ALTERIDADES,0188-7017
ALTERNATIVAS,1133-0473
ALTERNATIVE,.
ALTERNATIVES TO ANIMAL EXPERIMENTATION,1868-596X
ALTRE MODERNITÀ,2035-7680
ALTREITALIE,1120-0413
ALTRESTORIE,1720-6812
ALTRONOVECENTO,.
ALVEARIUM,2036-5020
AM,1593-2737
AMBIENTE JURIDICO,0123-9465
AMBIENTE SOCIETÀ TERRITORIO,1824-114X
"ÀMBITS DE POLÍTICA I SOCIETAT",1578-9918
AMBIX,0002-6980
AMBROSIUS,0392-5757
AMERICAN AND BRITISH STUDIES ANNUAL,1803-6058
AMERICAN ANTHROPOLOGIST,0002-7294
AMERICAN BEHAVIORAL SCIENTIST,0002-7642
AMERICAN EDUCATIONAL RESEARCH JOURNAL,0002-8312
AMERICAN ETHNOLOGIST,0094-0496
AMERICAN JOURNAL OF BIOETHICS,1526-5161
AMERICAN JOURNAL OF EDUCATION,0195-6744
AMERICAN JOURNAL OF EDUCATION,1549-6511
AMERICAN JOURNAL OF EPIDEMIOLOGY,0002-9262
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533
AMERICAN JOURNAL OF HUMAN BIOLOGY,1520-6300
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,1097-0274
AMERICAN JOURNAL OF INFECTION CONTROL,0196-6553
AMERICAN JOURNAL OF NEUROSCIENCE,1948-9900
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,0894-9115
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,1537-7385
AMERICAN JOURNAL OF PHYSICS,0002-9505
AMERICAN JOURNAL OF PHYSIOLOGY. HEART AND CIRCULATORY PHYSIOLOGY,0363-6135
AMERICAN JOURNAL OF PHYSIOLOGY. HEART AND CIRCULATORY PHYSIOLOGY,1522-1539
AMERICAN JOURNAL OF PHYSIOLOGY: ENDOCRINOLOGY AND METABOLISM,0193-1849
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036
AMERICAN JOURNAL OF SEMIOTICS,0277-7126
AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,1944-7515
AMERICAN MEDICAL JOURNAL,1949-0070
AMERICAN PHILOSOPHICAL QUARTERLY,0003-0481
AMERICAN SCIENTIST,0003-0996
AMERÍNDIA,1980-4806
AMMINISTRARE,0044-8141
AMMINISTRAZIONE ITALIANA,0303-9722
AMPELOSCORDIA,.
AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION,2167-8421
ANABASES,1774-4296
ANALECTA AUGUSTINIANA,0392-2855
ANALECTA BOLLANDIANA,0003-2468
ANALECTA HISTÓRICO MÉDICA,.
ANALECTA PAPYROLOGICA,1122-2336
ANALECTA POMPOSIANA,0393-6538
"ANALELE STIINTIFICE ALE UNIVERSITAŢII ""AL.I. CUZA"" DIN IASI. FILOSOFIE",1221-8413
"ANALELE UNIVERSITATII ""OVIDIUS"" CONSTANTA. SECTIUNEA FILOLOGIE",1224-1768
"ANALELE UNIVERSITATII ""OVIDIUS"" CONSTANTA. SERIA CHIMIE",1583-2430
"ANALELE UNIVERSITATII ""STEFAN CEL MARE"". SERIA STIINTE ALE EDUCATIEI",1582-1129
ANALELE UNIVERSITĂŢII DIN CRAIOVA,1841-8325
ANALELE UNIVERSITATII DIN CRAIOVA. ISTORIE,1224-5704
ANALELE UNIVERSITĂŢII DIN ORADEA. FASCICULA GEOGRAFIE,1221-1273
"ANALELE UNIVERSITĂŢII DUNĂREA DE JOS DIN GALAŢI. FASCICULA XVIII, FILOSOFIE",1583-512X
ANALES DE ANTROPOLOGIA,0185-1225
ANALES DE DOCUMENTACIÓN,1575-2437
ANALES DE DOCUMENTACIÓN,1697-7904
"ANALES DE HISTORIA ANTIGUA, MEDIEVAL Y MODERNA",1514-9927
ANALES DE LA FUNDACIÓN JOAQUÍN COSTA,0213-1404
ANALI ZAVODA ZA POVIJESNE ZNANOSTI HRVATSKE AKADEMIJE ZNANOSTI I UMJETNOSTI U DUBROVNIKU,1330-0598
ANALISI,1121-001X
ANALISI E DIRITTO,1126-5779
ANALISI STORICA,1120-0618
ANALIZA,1408-2969
ANALYSE & KRITIK,0171-5860
ANALYSIS,0003-2638
ANALYSIS,1467-8284
ANALYSIS,1591-0695
ANALYTIC PHILOSOPHY,2153-9596
ANALYTICA,1414-3003
ANALYTICA,2222-5331
ANANKE,1129-8219
ANCIENT NARRATIVE,1568-3540
ANCIENT PHILOSOPHY,0740-2007
ANFIONE E ZETO,0394-8021
ANGLE ORTHODONTIST,0003-3219
ANGLISTICA AION AN INTERDISCIPLINARY JOURNAL,2035-8504
ANIMA E TERRA,2280-0158
ANIMAL BEHAVIOUR,0003-3472
ANIMAL BIOLOGY,1570-7555
ANIMAL COGNITION,1435-9448
ANIMAL CONSERVATION,1367-9430
ANIMAL STUDIES,2281-2288
ANIMAL WELFARE,0962-7286
ANNALE DI STORIA REGIONALE,.
ANNALEN DER PHYSIK,0003-3804
ANNALES,0353-8281
ANNALES,0395-2649
ANNALES,1953-8146
ANNALES BENJAMIN CONSTANT,0263-7383
ANNALES DE BRETAGNE ET DES PAYS DE L'OUEST,0399-0826
ANNALES DE DÉMOGRAPHIE HISTORIQUE,0066-2062
ANNALES DE LA FOUNDATION FYSSEN,0980-157X
ANNALES DE LA SOCIETE JEAN-JACQUES ROUSSEAU,0259-6563
ANNALES DE PHÉNOMÉNOLOGIE,1632-0808
ANNALES DES PONTS ET CHAUSSEES,0152-9668
ANNALES HENRI POINCARE',1424-0637
ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,0003-4436
ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,1952-403X
ANNALES KINESIOLOGIAE,2232-2620
ANNALES MEDICO PSYCHOLOGIQUES,0003-4487
ANNALES MONÉGASQUES,0257-960X
ANNALES THEOLOGICI,0394-8226
ANNALES UNIVERSITATIS APULENSIS. SERIES HISTORICA,1453-9306
ANNALES UNIVERSITATIS APULENSIS. SERIES PAEDAGOGICA-PSYCHOLOGICA,1582-5558
ANNALES UNIVERSITATIS PAEDAGOGICAE CRACOVIENSIS,1689-9903
ANNALES. ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE,1408-5348
ANNALI - FONDAZIONE GIANGIACOMO FELTRINELLI,0393-3954
ANNALI - FONDAZIONE GIUSEPPE DI VITTORIO,1123-1408
ANNALI - FONDAZIONE LELIO E LISLI BASSO-ISSOCO,0392-0003
ANNALI - ISTITUTO UNIVERSITARIO ORIENTALE. SEZIONE GERMANICA,1124-3724
ANNALI - MUSEO STORICO ITALIANO DELLA GUERRA,.
ANNALI ... FONDAZIONE ISTITUTO GRAMSCI,1972-2818
"ANNALI / ARCHIVIO STORICO DELLA RESISTENZA BRESCIANA E DELL'ETA CONTEMPORANEA, UNIVERSITA CATTOLICA DELSACRO CUORE, SEDE DI BRESCIA",.
ANNALI ARETINI,1126-232X
ANNALI CHIERESI,.
ANNALI CUOCHIANI,1723-414X
ANNALI DEL CENTRO PANNUNZIO,.
ANNALI DEL DIPARTIMENTO DI FILOSOFIA,0394-5073
ANNALI DEL DIPARTIMENTO DI FILOSOFIA,1824-3770
ANNALI DEL DIPARTIMENTO DI STORIA,2239-3285
ANNALI DEL DIPARTIMENTO DI STORIA DELLE ARTI E DELLO SPETTACOLO,1590-3052
"ANNALI DEL DIPARTIMENTO DI STUDI GEOECONOMICI, LINGUISTICI, STATISTICI, STORICI PER L'ANALISI REGIONALE",.
"ANNALI DEL DIPARTIMENTO DI STUDI GEOECONOMICI, STATISTICI, STORICI PER L'ANALISI REGIONALE",.
ANNALI DEL SEMINARIO GIURIDICO,1593-3903
ANNALI DEL TURISMO,2283-3102
ANNALI DELLA FACOLTA' DI ECONOMIA,1724-398X
ANNALI DELLA FACOLTÀ DI ECONOMIA DELL'UNIVERSITÀ DI CATANIA,1721-9566
ANNALI DELLA FACOLTÀ DI ECONOMIA DI BENEVENTO,.
ANNALI DELLA FACOLTÀ DI ECONOMIA. UNIVERSITÀ DI PALERMO,1827-8388
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA,1125-8713
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA - UNIVERSITÀ DEGLI STUDI DELLA BASILICATA,1593-2583
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA DELL'UNIVERSITÀ DI PALERMO. STUDI E RICERCHE,.
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI BARI,0394-0020
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 1, STUDI CLASSICI",0393-6570
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 2, STUDI STORICO-ANTROPOLOGICI",0393-6589
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 3, STUDI LINGUISTICO-LETTERARI",0393-6597
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 4, STUDI FILOSOFICI",0393-6600
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DI MACERATA,0076-1818
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DI SIENA,0392-9345
ANNALI DELLA FACOLTA' DI LINGUE E LETTERATURE STRANIERE DELL'UNIVERSITA' DI BARI,1126-9502
ANNALI DELLA FACOLTA' DI LINGUE E LETTERATURE STRANIERE DELL'UNIVERSITA' DI SASSARI,1828-5384
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE DELL'UNIVERSITÀ DI CAGLIARI,1125-8470
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE UNIVERSITÀ DEGLI STUDI DI CATANIA,2038-1328
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE UNIVERSITÀ DEGLI STUDI DI CATANIA,2039-4934
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE-UNIVERSITÀ DI MACERATA,.
ANNALI DELLA FACOLTÀ GIURIDICA,2281-3063
ANNALI DELLA FONDAZIONE GIULIO PASTORE,.
ANNALI DELLA FONDAZIONE LUIGI EINAUDI,0531-9870
ANNALI DELLA FONDAZIONE LUIGI MICHELETTI,1121-7448
ANNALI DELLA FONDAZIONE MARIANO RUMOR,1828-4493
ANNALI DELLA FONDAZIONE UGO LA MALFA,1826-8854
ANNALI DELLA FONDAZIONE UGO SPIRITO,1121-1903
ANNALI DELLA PUBBLICA ISTRUZIONE,0391-6642
ANNALI DELLA PUBBLICA ISTRUZIONE,1971-5420
ANNALI DELLA SCUOLA MEDICA SALERNITANA,.
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA. QUADERNI,1128-1510
"ANNALI DELL'ISTITUTO ""ALCIDE CERVI""",0392-5897
ANNALI DELL'ISTITUTO ITALIANO PER GLI STUDI STORICI,0578-9931
ANNALI DELL'ISTITUTO STORICO ITALO-GERMANICO IN TRENTO,0392-0011
ANNALI DELL'ISTITUTO SUPERIORE DI SANITÀ,0021-2571
ANNALI DELL'ISTITUTO UGO LA MALFA,0394-1752
ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. SEZIONE ROMANZA,0547-2121
ANNALI DELL'ISTRUZIONE,1720-4135
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE LETTERE,1594-7424
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE STORIA,1825-7569
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE: MUSEOLOGIA SCIENTIFICA E NATURALISTICA,1824-2707
ANNALI DI ARCHITETTURA,1124-7169
ANNALI DI CA' FOSCARI,1125-3762
ANNALI DI CA' FOSCARI. SERIE ORIENTALE,1125-3789
ANNALI DI DISCIPLINE FILOSOFICHE DELL'UNIVERSITÀ DI BOLOGNA,1591-9617
ANNALI DI GEOFISICA,1590-1815
ANNALI DI RICERCHE E STUDI DI GEOGRAFIA,0392-8713
ANNALI DI SCIENZE RELIGIOSE,.
ANNALI DI SCIENZE RELIGIOSE,2031-5929
ANNALI DI SCIENZE RELIGIOSE,2294-8775
ANNALI DI SOCIOLOGIA,0066-2275
ANNALI DI STATISTICA,0075-1766
ANNALI DI STORIA DELLE UNIVERSITÀ ITALIANE,1127-8250
ANNALI DI STORIA DELL'EDUCAZIONE E DELLE ISTITUZIONI SCOLASTICHE,1723-9672
ANNALI DI STORIA DELL'ESEGESI,1120-4001
ANNALI DI STORIA DELL'IMPRESA,1120-9445
ANNALI DI STORIA DI FIRENZE,1824-2545
ANNALI DI STORIA DI FIRENZE,1827-6946
ANNALI DI STORIA MODERNA E CONTEMPORANEA,1124-0296
ANNALI DI STUDI RELIGIOSI,1592-5927
ANNALI DI STUDI RELIGIOSI,2284-3892
ANNALI D'ITALIANISTICA,0741-7527
ANNALI ISTITUTO ANTONIO BANFI,.
ANNALI ITALIANI DI MEDICINA INTERNA,0393-9340
ANNALI MANZONIANI,1126-6171
ANNALI ONLINE DELLA DIDATTICA E DELLA FORMAZIONE DOCENTE,2038-1034
ANNALI ONLINE DELL'UNIVERSITÀ DI FERRARA. SEZIONE LETTERE,1826-803X
ANNALI QUERINIANI,.
ANNALI STORICI DI PRINCIPATO CITRA,1722-8468
ANNALI. ACCADEMIA NAZIONALE DI AGRICOLTURA,0001-4443
ANNALI. ISTITUTO UNIVERSITARIO ORIENTALE NAPOLI,0393-3180
"ANNALI../DIPARTIMENTO DI STUDI STORICI, UNIVERSITÀ DI VENEZIA CA' FOSCARI.",.
ANNALI-ISTITUTO ITALIANO DI NUMISMATICA,0578-9923
ANNALI-ISTITUTO SUOR ORSOLA BENINCASA,2037-5859
ANNALI-UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA,2037-5867
ANNALS OF BIOMEDICAL ENGINEERING,0090-6964
ANNALS OF ECONOMICS AND FINANCE,1529-7373
ANNALS OF GEOPHYSICS,1593-5213
ANNALS OF MATHEMATICS AND OF ARTIFICIAL INTELLIGENCE,1012-2443
ANNALS OF PURE AND APPLIED LOGIC,0168-0072
ANNALS OF SCIENCE,0003-3790
"ANNALS OF THE ""SERGIU AL-GEORGE"" INSTITUTE",1221-4302
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,0004-5608
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,1467-8306
ANNALS OF TOURISM RESEARCH,0160-7383
"ANNUAIRE - ECOLE PRATIQUE DES HAUTES ÉTUDES, SECTION DES SCIENCES RELIGIEUSES",0183-7478
ANNUAL OF MEDIEVAL STUDIES AT THE CEU,1219-0616
ANNUAL REVIEW OF ANTHROPOLOGY,0084-6570
ANNUAL REVIEW OF ANTHROPOLOGY,1545-4290
ANNUAL REVIEW OF ITALIAN SOCIOLOGY,.
ANNUAL REVIEW OF THE SOCIOLOGY OF RELIGION,1877-5233
ANNUARIO DEL CENTRO STUDI GIOVANNI VAILATI,.
ANNUARIO DELLA SCUOLA ARCHEOLOGICA DI ATENE E DELLE MISSIONI ITALIANE IN ORIENTE,0067-0081
ANNUARIO DELL'ISTITUTO ROMENO DI CULTURA E RICERCA UMANISTICA DI VENEZIA,1454-6620
ANNUARIO DELL'ISTITUTO STORICO DIOCESANO DI SIENA,1720-5905
ANNUARIO FILOSOFICO,0394-1809
ANNUARIO STORICO ZENONIANO,2281-9150
ANNUARIUM HISTORIAE CONCILIORUM,0003-5157
ANTAEUS,0238-0218
ANTEREM,0393-1838
ANTHROPOLOGICA,0003-5459
ANTHROPOLOGICA,2239-6160
ANTHROPOLOGICAL JOURNAL OF EUROPEAN CULTURES,1755-2923
ANTHROPOLOGICAL JOURNAL ON EUROPEAN CULTURES,0960-0604
ANTHROPOLOGICAL NOTEBOOKS,1408-032X
ANTHROPOLOGICAL QUARTERLY,0003-5491
ANTHROPOLOGICAL THEORY,1463-4996
ANTHROPOLOGICAL THEORY,1741-2641
ANTHROPOLOGIE & SANTÉ,2111-5028
ANTHROPOLOGISCHER ANZEIGER,0003-5548
ANTHROPOLOGY & MEDICINE,1364-8470
ANTHROPOLOGY & PHILOSOPHY,1593-2079
ANTHROPOLOGY IN ACTION,0967-201X
ANTHROPOLOGY OF FOOD,1609-9168
ANTHROPOLOGY TODAY,0268-540X
ANTHROPOS,0257-9774
ANTHROPOS,0587-5161
ANTHROPOS,1105-2155
ANTHROPOS & IATRIA,1720-609X
ANTI-CANCER DRUGS,0959-4973
ANTICANCER RESEARCH,0250-7005
ANTICOMODERNO,1125-3800
ANTÍGONA,1887-6862
ANTIGONE,1828-437X
ANTIGUO ORIENTE,1667-9202
ANTIPODE,0066-4812
ANTIPODE,1467-8330
ANTIQUITÉ TARDIVE,1250-7334
ANTIQUORUM PHILOSOPHIA,1973-5030
ANTOLOGIA VIEUSSEUX,1124-3678
ANTONIANUM,0003-6064
ANTROCOM,1973-2880
ANTROPO,1578-2603
ANTROPOLOGIA,1131-5814
ANTROPOLOGIA,2281-4043
ANTROPOLOGIA DELLA SALUTE,.
ANTROPOLOGIA E TEATRO,2039-2281
ANTROPOLOGIA MEDICA,0393-9081
ANTROPOLOGIA MUSEALE,1971-4815
ANUAC,2239-625X
ANUARIO ANTROPOLOGIA SOCIAL Y CULTURAL EN URUGUAY,1510-3846
ANUARIO DA FACULTADE DE DEREITO DA UNIVERSIDADE DA CORUÑA,1138-039X
ANUARIO DE ESTUDIOS AMERICANOS,0210-5810
ANUARIO DE ESTUDIOS AMERICANOS,1988-4273
ANUARIO DE ESTUDIOS MEDIEVALES,0066-5061
ANUARIO DE HISTORIA DE LA IGLESIA,1133-0104
ANUARIO DE HISTORIA DEL DERECHO ESPANOL,0304-4319
ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS,0101-9759
ANUARIO FILOSOFICO,0066-5215
ANUARIO IEHS,0326-9671
ANUARUL INSTITUTULUI ITALO-ROMÂN DE STUDII ISTORICE,1841-012X
ANUARUL ŞCOLII DOCTORALE DE FILOSOFIA POLITICII,1844-5691
APA NEWSLETTERS,2155-9708
APEIRON,0003-6390
