TITOLO,ISSN
AGATHON,.
AGOGE,1827-5494
AGRIBUSINESS PAESAGGIO & AMBIENTE,1594-784X
AGRIBUSINESS PAESAGGIO & AMBIENTE,2038-3371
AGRIREGIONIEUROPA,1828-5880
AIDEA,0019-1299
AIDU ENTOS,2037-6103
AIM MAGAZINE,1974-9635
AION,1720-1721
AIS / DESIGN. STORIA E RICERCHE,2281-7603
AL. AREALEGNO,1593-5590
ALBA POMPEIA,0394-9427
ALBERI E TERRITORIO,1724-4021
ALBERTIANA,1126-9588
ALFA SPECTRA,.
ALLEGORIA,1122-1887
ALMAGEST,1792-2593
ALMANACCO DI CASABELLA,.
ALPS,2038-4009
ALTERNATIVES,0304-3754
ALTERNATIVES THÉÂTRALES,0774-4145
ALTORIENTALISCHE FORSCHUNGEN,0232-8461
ALTREITALIE,1120-0413
AM,.
AMBIENTE & SICUREZZA,2035-5149
AMBIENTE RISORSE SALUTE,0393-0521
AMBIENTE SOCIETÀ TERRITORIO,1824-114X
AMBIENTE TERRITORIO,1971-5455
AMBULATORY SURGERY,0966-6532
AMERICAN JOURNAL OF ARCHAEOLOGY,0002-9114
AMMINISTRARE IMMOBILI,.
ANALECTA POMPOSIANA,0393-6538
"ANALELE UNIVERSITATII ""VALAHIA"" TARGOVISTE. SERIA AGRICULTURA",2065-2720
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,1618-2642
ANANKE,1129-8219
AND,1723-9990
ANFIONE E ZETO,0394-8021
ANFIONE E ZETO,1724-0123
ANNALES ARCHÉOLOGIQUES ARABES SYRIENNES,0570-1554
ANNALES UNIVERSITATIS APULENSIS. SERIES HISTORICA,1453-9306
ANNALI DEL BAROCCO IN SICILIA,1125-9205
ANNALI DEL DIPARTIMENTO DI STORIA,2239-3285
"ANNALI DEL MUSEO CIVICO DI ROVERETO. SEZIONE: ARCHEOLOGIA, STORIA, SCIENZE NATURALI",1720-9161
ANNALI DELLA FACOLTÀ DI SCIENZE E TECNOLOGIE,1825-1331
ANNALI DELLA PONTIFICIA INSIGNE ACCADEMIA DI BELLE ARTI E LETTERE DEI VIRTUOSI AL PANTHEON,1818-5282
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X
"ANNALI DELL'ISTITUTO ""ALCIDE CERVI""",0392-5897
ANNALI DELL'ISTITUTO SPERIMENTALE PER LA SELVICOLTURA,0390-0010
ANNALI DELL'ISTITUTO SUPERIORE DI SANITÀ,0021-2571
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE: MUSEOLOGIA SCIENTIFICA E NATURALISTICA,1824-2707
ANNALI DI ARCHITETTURA,1124-7169
ANNALI DI CHIMICA,0003-4592
ANNALI DI CRITICA D'ARTE,2279-557X
ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITÀ,1120-9135
ANNALI DI STORIA DELLE UNIVERSITÀ ITALIANE,1127-8250
ANNALI DI STORIA DI FIRENZE,1824-2545
ANNALI-UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA,2037-5867
ANNALS OF GEOPHYSICS,1593-5213
"ANNALS OF THE ""SERGIU AL-GEORGE"" INSTITUTE",1221-4302
ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,1543-5938
ANNUARIO DELLA SCUOLA ARCHEOLOGICA DI ATENE E DELLE MISSIONI ITALIANE IN ORIENTE,0067-0081
ANNUARIO DELLA SCUOLA DI SPECIALIZZAZIONE IN STORIA DELL'ARTE DELL'UNIVERSITÀ DI BOLOGNA,1722-4217
ANNUARIO DELL'ISTITUTO ROMENO DI CULTURA E RICERCA UMANISTICA DI VENEZIA,1454-6620
ANNUARIO STORICO DELLA VALPOLICELLA,.
ANTIKE WELT,0003-570X
ANTINCENDIO,0393-7089
ANTITHESI. GIORNALE DI CRITICA DELL'ARCHITETTURA,1971-2138
ANTOLOGIA DI BELLE ARTI,0394-0136
ANTOLOGIA VIEUSSEUX,1124-3678
ANTROPOLOGIA MUSEALE,1971-4815
ANUARIO ANTROPOLOGIA SOCIAL Y CULTURAL EN URUGUAY,1510-3846
ANUARIO DEL DEPARTAMENTO DE HISTORIA Y TEORÍA DEL ARTE,1130-5517
AP ARGOMENTI,2035-5815
APERTURE,2037-2558
APLIMAT - JOURNAL OF APPLIED MATHEMATICS,1337-6365
APOLLO,0003-6536
APOLLO. BOLLETINO DEI MUSEI PROVINCIALI DEL SALERNITANO,1720-5077
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,0099-2240
APPLIED CLAY SCIENCE,0169-1317
APPLIED ENERGY,0306-2619
APPLIED ERGONOMICS,0003-6870
APPLIED GEOGRAPHY,0143-6228
APPLIED GEOMATICS,1866-9298
APPLIED INTELLIGENCE,0924-669X
APPUNTI DI POLITICA TERRITORIALE,.
APT BULLETIN,0848-8525
APUNTES,1657-9763
AQUA MUNDI,2038-3584
"AR. ARHITEKTURA, RAZISKAVE",1580-5573
AR@CNE,1578-0007
ARC,.
ARC 2 CITTÀ,2240-7553
ARC. ARCHITETTURA RICERCA COMPOSIZIONE,.
ARCH,.
ARCH & WEB,1971-0917
ARCH +,0587-3452
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES,1866-9557
ARCHAEOLOGICAL COMPUTING NEWSLETTER,0952-3332
ARCHAEOLOGICAL PROSPECTION,1099-0763
ARCHAEOMETRY,0003-813X
ARCHAEOMETRY,1475-4754
ARCHALP,2039-1730
ARCHÉ,1887-3960
ARCHEO,1120-4559
ARCHEOGRAFO TRIESTINO,0392-0038
ARCHEOLOGIA AEREA,2035-7540
ARCHEOLOGIA DELL'ARCHITETTURA,1126-6236
ARCHEOLOGIA E CALCOLATORI,1120-6861
ARCHEOLOGIA MEDIEVALE,0390-0592
ARCHEOLOGIA POSTMEDIEVALE,1592-5935
ARCHEOMATICA,2037-2485
ARCHÉOSCIENCES,1960-1360
ARCHI,1422-5417
ARCHI @ MEDIA,1129-8197
ARCHIMEDIA,1122-6781
ARCHINGEO,1594-5898
ARCHISCOPIE,0768-5785
ARCHISTORM,1763-6361
ARCH'IT,.
ARCHITECTI,.
ARCHITÉCTI,.
ARCHITECTONI.CA,1927-7148
ARCHITECTURA,0044-863X
ARCHITECTURAL DESIGN,0003-8504
ARCHITECTURAL DIGEST,0003-8520
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT,1745-2007
ARCHITECTURAL HERITAGE,1350-7524
ARCHITECTURAL HISTORY,0066-622X
ARCHITECTURAL SCIENCE REVIEW,0003-8628
ARCHITECTURAL THEORY REVIEW,1326-4826
ARCHITECTURE AUSTRALIA,0003-8725
ARCHITECTURE IRELAND,1649-5152
ARCHITECTURE MEDITERRANEENNE,0761-7909
ARCHITEKTUR,1606-4550
ARCHITEKTUR & BAUFORUM,1026-8413
ARCHITEKTUR AKTUELL,0570-6602
ARCHITEKTÚRA A URBANIZMUS,0044-8680
ARCHITETTARE,2420-7756
ARCHITETTURA & ARTE,.
ARCHITETTURA CITTÀ,1828-8944
ARCHITETTURA CIVILE,2281-5996
ARCHITETTURA DEL PAESAGGIO,1125-0259
ARCHITETTURA INTERSEZIONI,.
ARCHITETTURE CITTA' E TERRITORIO,.
ARCHITETTURE E CITTÀ DEL TERZO MILLENNIO,2036-7619
ARCHITETTURE GROSSETO,2038-4203
ARCHITETTURE IN ACCIAIO,.
ARCHITETTURE LIVORNO,1973-7092
ARCHITETTURE LUCCA,2038-4181
ARCHITETTURE PARMA E PIACENZA,2038-419X
ARCHITETTURE PISANE,2038-4165
ARCHIVES FOR SENSOLOGY AND NEUROOTOLOGY IN SCIENCE AND PRACTICE,1612-3352
ARCHIVES OF ACOUSTICS QUARTERLY,0137-5075
ARCHIVI,1970-4070
ARCHIVI PER LA STORIA,0394-9044
ARCHIVIO DELLA SOCIETÀ ROMANA DI STORIA PATRIA,0391-6952
ARCHIVIO DI STUDI URBANI E REGIONALI,0004-0177
ARCHIVIO PER L'ANTROPOLOGIA E LA ETNOLOGIA,0373-3009
ARCHIVIO SCIALOJA-BOLLA. ANNALI DI STUDI SULLA PROPRIETÀ COLLETTIVA,.
ARCHIVIO STORICO DI BELLUNO FELTRE E CADORE,0392-2065
ARCHIVIO STORICO E GIURIDICO SARDO DI SASSARI,2240-4864
ARCHIVIO STORICO ITALIANO,0391-7770
ARCHIVIO STORICO LOMBARDO,0392-0232
ARCHIVIO STORICO MESSINESE,1122-701X
ARCHIVIO STORICO PER LE PROVINCE NAPOLETANE,0392-0267
ARCHIVIO STORICO PER LE PROVINCE PARMENSI,0392-0283
ARCHIVIO STORICO PRATESE,0392-0259
ARCHIVIO VENETO,0392-0291
ARCHIVO DE ARTE VALENCIANO,0211-5808
ARCHIVUM BOBIENSE,0392-0305
ARCHPHOTO,1971-0739
ARCO-JOURNAL,.
AREA,0004-0894
AREA,0394-0055
AREA,1475-4762
AREA VASTA,.
AREAVASTA,1825-7526
AREL LA RIVISTA,2039-0181
ARGOMENTI,1125-9116
ARGOMENTI DI ARCHITETTURA,1591-3171
ARHITECTURA,1220-3254
ARHITEKTON,1821-2476
ARHITEKTONIKA THEMATA,0066-6262
ARHITEKTURA,0350-3666
ARHITEKTURA I SOVREMENNYE INFORMACIONNYE TEHNOLOGII,1998-4839
ARHITEXT DESIGN,1224-886X
ARK,2240-2942
ARKETIPO,1828-4450
ARKITEKTUR,0004-2021
ARKOS,1974-7950
ARQ,1359-1355
ARQ. ARCHITETTURA QUADERNI,.
ARQUEOLOGÍA DE LA ARQUITECTURA,1695-2731
ARQUINE,1405-6151
ARQUITECTONICS,1579-4431
ARQUITECTURA CUBA,0138-872X
ARQUITECTURA E VIDA,.
ARQUITECTURA IBÉRICA,1645-9415
ARQUITECTURA VIVA,0214-1256
ARQUITECTURAS DEL SUR,0716-2677
ARS,0044-9008
ARS ET RATIO,.
ART & FACT,0774-1863
ART 4 D,0859-161X
ART APP,2037-1233
ART HISTORY,0141-6790
"ART, DESIGN & COMMUNICATION IN HIGHER EDUCATION",1474-273X
ARTE A BOLOGNA,1124-0229
ARTE CRISTIANA,0004-3400
ARTE DOCUMENTO,1121-0524
ARTE E CRITICA,1591-2949
ARTE E STORIA,2235-7769
ARTE IN FRIULI ARTE A TRIESTE,1827-269X
ARTE LOMBARDA,0004-3443
ARTE MEDIEVALE,0393-7267
ARTE NAVALE,1591-2183
ARTE VENETA,0392-5234
ARTEOFICIO,0717-5590
ARTES,1122-3154
ARTFORUM INTERNATIONAL,1086-7058
ARTIBUS ET HISTORIAE,0391-9064
ARTIGIANATO TRA ARTE E DESIGN,1724-9430
ARTIGRAMA,0213-1498
ARTLAB,1824-260X
ASIAN CULTURE AND HISTORY,1916-9655
ASIAN JOURNAL OF CIVIL ENGINEERING (BUILDING AND HOUSING),1563-0854
ASIAN JOURNAL OF LITERATURE AND SOCIETY,1905-856X
"ÄSTHETIK UND KOMMUNIKATION",0341-7212
ATENEO VENETO,0004-6558
ATHEROSCLEROSIS,0021-9150
ATLANTIS,1387-3679
ATLAS,1122-3006
ATMOSPHERIC ENVIRONMENT,1352-2310
ATMOSPHERIC POLLUTION RESEARCH,1309-1042
ATRIUM,1219-0101
"ATTI - ISTITUTO VENETO DI SCIENZE, LETTERE ED ARTI. CLASSE DI SCIENZE MORALI, LETTERE ED ARTI",0392-1336
ATTI DEI CIVICI MUSEI DI STORIA ED ARTE DI TRIESTE,1127-1604
ATTI DEL MUSEO CIVICO DI STORIA NATURALE DI TRIESTE,0365-1576
ATTI DELLA ACCADEMIA NAZIONALE DEI LINCEI. MEMORIE CLASSE DI SCIENZE MORALI STORICHE E FILOLOGICHE,0391-8149
"ATTI DELLA ACCADEMIA ROVERETANA DEGLI AGIATI. CLASSE DI SCIENZE UMANE, LETTERE ED ARTI",1122-6064
ATTI DELLA FONDAZIONE GIORGIO RONCHI,0391-2051
"ATTI DELLA PONTIFICIA ACCADEMIA ROMANA DI ARCHEOLOGIA. SERIE III, RENDICONTI",1019-9500
ATTI DELLA SOCIETÀ LIGURE DI STORIA PATRIA,2037-7134
ATTI DELL'ACCADEMIA DELLE SCIENZE DI FERRARA,0365-0464
ATTI DELL'ACCADEMIA NAZIONALE DI SAN LUCA,2239-8341
ATTI DELL'ACCADEMIA PONTANIANA,1121-9238
"ATTI DELL'ATENEO DI SCIENZE, LETTERE ED ARTI DI BERGAMO",1724-2347
ATTI E MEMORIE - ACCADEMIA NAZIONALE VIRGILIANA DI SCIENZE LETTERE ED ARTI,1124-3783
ATTI E MEMORIE - DEPUTAZIONE DI STORIA PATRIA PER LE PROVINCIE DI ROMAGNA,0393-7240
"ATTI E MEMORIE DELL'ACCADEMIA DI AGRICOLTURA, SCIENZE E LETTERE DI VERONA",0365-0014
ATTI E MEMORIE DELL'ACCADEMIA TOSCANA DI SCIENZE E LETTERE LA COLOMBARIA,0392-0836
ATTI E RASSEGNA TECNICA - SOCIETA' DEGLI INGEGNERI E ARCHITETTI IN TORINO,0004-7287
ATTI E STUDI. ACCADEMIA RAFFAELLO,2039-0475
AU TECNOLOGIE,1121-2497
AU. ARQUITETURA E URBANISMO,0102-8979
AU. ARREDO URBANO,0394-5944
AUT AUT,0005-0601
AUTO & DESIGN,0393-8387
AUTOMATION IN CONSTRUCTION,0926-5805
AUTOPORTRET,1730-3613
AUTREPART,1278-3986
AVATAR. DISLOCAZIONI TRA ANTROPOLOGIA E COMUNICAZIONE,1724-4870
AZIENDAITALIA,0394-2155
AZURE,0829-982X
BABEL,0521-9744
"BARCELONA, METRÒPOLIS MEDITERRÀNIA",0214-6215
BARCHE,.
BARNABITI STUDI,1594-3445
BAUTECHNIK,0932-8351
BAUWELT,0005-6855
"BDC. BOLLETTINO DEL DIPARTIMENTO DI CONSERVAZIONE DEI BENI ARCHITETTONICI ED AMBIENTALI DELL'UNIVERSITÀ
DEGLI STUDI DI NAPOLI",1121-2918
BELFAGOR,0005-8351
BETONART,1304-4931
BIBLIO 3W,1138-9796
BIBLIOTECA E SOCIETÀ,0392-2545
BIBLIOTECA TEATRALE,0045-1959
BIBLIOTECHE OGGI,0392-8586
BIOARCHITETTURA,1824-050X
BIOCHEMICAL JOURNAL,0264-6021
BIODIVERSITY AND CONSERVATION,0960-3115
BIOETICA E CULTURA,1121-6948
BIOFOULING,0892-7014
BIOGEOGRAPHIA,1594-7629
BIOLOGIA,0006-3088
BIOLOGIA AMBIENTALE,1129-504X
BIOLOGICAL CONSERVATION,0006-3207
BIOMASS & BIOENERGY,0961-9534
BIOMECHANICS AND MODELING IN MECHANOBIOLOGY,1617-7959
BIOMEDIZINISCHE TECHNIK,0013-5585
BIOSYSTEMS ENGINEERING,1537-5110
BLOCK,0329-6288
BLOOM,2035-5033
BLUEPRINT,0268-4926
BN,0394-008X
BOIS ET FORETS DES TROPIQUES,0006-579X
BOLETÍN DE ARTE,0211-8483
BOLLETTINO AIOM,.
BOLLETTINO BIBLIOTECA,1128-904X
BOLLETTINO D'ARTE,0391-9854
BOLLETTINO D'ARTE,0394-4573
BOLLETTINO D'ARTE - MINISTERO PER I BENI CULTURALI E AMBIENTALI. SUPPLEMENTO,0394-4611
BOLLETTINO DEI MUSEI COMUNALI DI ROMA,0523-9346
BOLLETTINO DEL CENTRO DI STUDI PER LA STORIA DELL'ARCHITETTURA,.
"BOLLETTINO DEL DIPARTIMENTO DI URBANISTICA E PIANIFICAZIONE DEL TERRITORIO/ UNIVERSITA' DEGLI STUDI DI
FIRENZE",.
BOLLETTINO DEL DPTU,.
BOLLETTINO DEL MUSEO BODONIANO DI PARMA,0392-2413
BOLLETTINO DEL MUSEO DEL RISORGIMENTO,0523-9478
BOLLETTINO DELL’ASSOCIAZIONE IASOS DI CARIA,.
BOLLETTINO DELLA BIBLIOTECA - FACOLTÀ DI ARCHITETTURA. UNIVERSITÀ DEGLI STUDI DI ROMA,0392-2898
BOLLETTINO DELLA BIBLIOTECA. DIPARTIMENTO DI STORIA E PROGETTO NELL'ARCHITETTURA. UNIVERSITÀ DI PALERMO,.
BOLLETTINO DELLA DEPUTAZIONE DI STORIA PATRIA PER L'UMBRIA,0300-4422
BOLLETTINO DELLA SOCIETÀ DI STUDI FIORENTINI,1129-8200
BOLLETTINO DELLA SOCIETÀ GEOGRAFICA ITALIANA,1121-7820
BOLLETTINO DELLA SOCIETÀ GEOLOGICA ITALIANA,0037-8763
BOLLETTINO DELLA SOCIETÀ ITALIANA DEGLI URBANISTI,.
BOLLETTINO DELLA SOCIETÀ ITALIANA DI FOTOGRAMMETRIA E TOPOGRAFIA,1721-971X
BOLLETTINO DELLA SOCIETÀ PAVESE DI STORIA PATRIA,2239-2254
"BOLLETTINO DELLA SOCIETÀ PER GLI STUDI STORICI, ARCHEOLOGICI ED ARTISTICI DELLA PROVINCIA DI CUNEO",0392-0402
BOLLETTINO DELLA SOCIETÀ PIEMONTESE DI ARCHEOLOGIA E BELLE ARTI,1121-9319
BOLLETTINO DELLA SOCIETÀ STORICA PINEROLESE,2035-5084
BOLLETTINO DELLA SOCIETÀ STORICA VALTELLINESE,1591-0342
BOLLETTINO DELL'ACCADEMIA DEGLI EUTELETI DELLA CITTÀ DI SAN MINIATO,2281-521X
BOLLETTINO DELL'ASSOCIAZIONE IASOS DI CARIA,1972-8832
BOLLETTINO DELL'ASSOCIAZIONE ITALIANA DI CARTOGRAFIA,0044-9733
BOLLETTINO DELL'ISTITUTO STORICO ARTISTICO ORVIETANO,0391-8211
BOLLETTINO DELL'UNIONE MATEMATICA ITALIANA. A,0392-4033
BOLLETTINO DI ARCHEOLOGIA ONLINE,2039-0076
BOLLETTINO DI GEOFISICA TEORICA E APPLICATA,0006-6729
BOLLETTINO ICR,1594-2562
BOLLETTINO INGEGNERI,2035-2417
BOLLETTINO STORICO MANTOVANO,0523-9389
BOLLETTINO STORICO PIACENTINO,0006-6591
BOLLETTINO STORICO PISANO,0391-1780
BOLLETTINO STORICO-BIBLIOGRAFICO SUBALPINO,0391-6715
"BOLLETTINO-MONUMENTI, MUSEI E GALLERIE PONTIFICIE",1018-4317
BOUNDARIES,2239-0332
BRUNDISII RES,0392-1301
BRUNIANA & CAMPANELLIANA,1125-3819
BRUNIANA & CAMPANELLIANA,1724-0441
BTA. BOLLETTINO TELEMATICO DELL'ARTE,1127-4883
BUILD,0110-4381
BUILDING ACOUSTICS,1351-010X
BUILDING AND ENVIRONMENT,0360-1323
BUILDING MATERIALS,1393-8770
BUILDING RESEARCH AND INFORMATION,0961-3218
BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY,0143-6244
BUILDING SIMULATION,1996-3599
BUILDINGS,2075-5309
BUILT ENVIRONMENT,0263-7960
BULLETIN DE L'ASSOCIATION DES HISTORIENS DE L'ART ITALIEN,1265-0935
BULLETIN D'ETUDES ORIENTALES,0253-1623
BULLETIN MONUMENTAL,0007-473X
BULLETIN OF EARTHQUAKE ENGINEERING,1570-761X
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,1011-3924
BULLETTINO DELLA COMMISSIONE ARCHEOLOGICA COMUNALE DI ROMA,0392-7636
BULLETTINO DELLA SOCIETÀ TOSCANA DI ORTICULTURA,.
BULLETTINO DELL'AGRICOLTURA. ATTI DELLA SOCIETÀ AGRARIA DI LOMBARDIA,1591-4445
BULLETTINO SENESE DI STORIA PATRIA,0391-7568
BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733
BYGGEKUNST,0007-7518
C & D: CITTÀ E DINTORNI,.
C.R.P.R IN/FORMA,2035-8717
C3,2092-5190
CADERNOS DE ARQUITETURA E URBANISMO,1413-2095
CAHIERS ART ET SCIENCE,1254-6593
CAHIERS DE LA RECHERCHE ARCHITECTURALE ET URBAINE,1296-4077
CAHIERS THÉMATIQUES,1625-9505
CALIFORNIA ITALIAN STUDIES,2155-7926
CAMBIO,2239-1118
CAMERACRONICA MAGAZINE,2281-1311
CAMPANIA SACRA,0392-1352
CANADIAN JOURNAL OF CIVIL ENGINEERING,0315-1468
CANADIAN JOURNAL OF FOREST RESEARCH,1208-6037
CANADIAN MINERALOGIST,0008-4476
CAPITOLIUM,1124-9269
CAPITOLIUM MILLENNIO,1724-0786
CAPODOPERA,1971-7512
CARTAS URBANAS,1136-1298
CARTE DI CINEMA,1970-4054
CASA & CLIMA,2038-0895
CASA NATURALE,1825-3296
CASABELLA,0008-7181
CASTELLUM,0392-3355
CE INTERNATIONAL,1970-3392
CEBE TRANSACTIONS,1745-0322
CEMENT & CONCRETE COMPOSITES,0958-9465
CEMENT AND CONCRETE RESEARCH,0008-8846
CENTAURUS,0008-8994
CENTER ... RECORD OF ACTIVITIES AND RESEARCH REPORTS,1557-198X
CENTRAL EUROPEAN JOURNAL OF ENGINEERING,1896-1541
CHAOS,1054-1500
CHAOS AND COMPLEXITY LETTERS,1556-3995
CHÂTEAUX-FORTS D'EUROPE,1253-6008
CHEIRON,1127-8951
CHEMICAL ENGINEERING AND PROCESSING,0255-2701
CHEMISTRY IN ECOLOGY,0275-7540
CHIESA OGGI,1125-1360
CHIESA OGGI ARCHITETTURA E COMUNICAZIONE RACCOLTA,1828-8588
CHS NEWSLETTER,0951-9203
CINEMACITTÀ,.
CITIES,0264-2751
CITTA' E STORIA,1828-6364
CITTÀ IN CONTROLUCE,.
CITY,1360-4813
CITY,1470-3629
CITY & TIME,1807-7544
"CITY, CULTURE AND SOCIETY",1877-9166
CIUDAD Y TERRITORIO - ESTUDIOS TERRITORIALES,1133-4762
CIUDADES,1133-6579
CIVILTA' BRESCIANA,1122-2387
CIVILTÀ MANTOVANA,0391-7479
CIVITAS,0009-8191
CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,1618-954X
CLIMATE RESEARCH,0936-577X
CLUSTER,1724-2231
COASTAL MANAGEMENT,0892-0753
CODESIGN,1571-0882
COGNITION TECHNOLOGY AND WORK,1435-5558
COGNITIVE PROCESSING,1612-4782
COLOR RESEARCH AND APPLICATION,0361-2317
COLORE,1590-3079
COLOUR: DESIGN & CREATIVITY,1753-7223
COMMENTARI D'ARTE,1974-6385
COMMENTARI DELL'ATENEO DI BRESCIA PER L'ANNO...,1594-8218
COMMONWEALTH JOURNAL OF LOCAL GOVERNANCE,1836-0394
"COMMUNICATION, POLITICS & CULTURE",1836-0645
COMMUNICATIONS OF THE ACM,0001-0782
COMMUNIO,.
COMMUNITAS,1825-4993
COMPAR(A)ISON,0942-8917
COMPASSES,.
COMPLESSITÀ E SOSTENIBILITÀ,1724-7756
COMPLESSITÀ E SOSTENIBILITÀ: IL TERRITORIO E L'ARCHITETTURA,1971-3002
COMPLEXUS,1424-8492
COMPOSITE STRUCTURES,0263-8223
"COMPOSITES. PART B, ENGINEERING",1359-8368
COMPTES RENDUS CHIMIE,1631-0748
COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,1687-5265
COMPUTATIONAL MECHANICS,0178-7675
COMPUTER,0018-9162
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0045-7825
COMPUTERS & GEOSCIENCES,0098-3004
COMPUTERS & OPERATIONS RESEARCH,0305-0548
COMPUTERS & STRUCTURES,0045-7949
"COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS",0198-9715
CONFLITTI,.
CONFRATERNITAS,1180-0682
CONFRONTI,2279-7920
CONFRONTO,1129-2229
CONFRONTO,1721-6745
CONOSCENZE,1827-0069
CONSERVATION & SOCIETY,0972-4923
CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES,1350-5033
CONSERVATION BIOLOGY,0888-8892
CONSERVATION SCIENCE IN CULTURAL HERITAGE,1974-4951
CONSTRUCTION AND BUILDING MATERIALS,0950-0618
CONSTRUCTION INNOVATION,1471-4175
CONSTRUCTION MANAGEMENT AND ECONOMICS,0144-6193
CONTEMPORANEA,1127-3070
CONTEMPORARY EUROPEAN HISTORY,0960-7773
CONTEMPORARY SCENOGRAPHY,2049-4831
CONTESTI,1126-2133
CONTESTI,2035-5300
CONTROSPAZIO,0010-809X
CONVERGENCIAS,1646-9054
CORPORATE SOCIAL RESPONSIBILITY & ENVIRONMENTAL MANAGEMENT,1535-3958
CORROSION,0010-9312
"CORROSION ENGINEERING, SCIENCE AND TECHNOLOGY",1478-422X
CORROSION REVIEWS,0334-6005
CORROSION SCIENCE,0010-938X
COSTRUIRE,1121-6336
COSTRUIRE IMPIANTI,1722-3644
COSTRUIRE IN LATERIZIO,0394-1590
COSTRUIRE PER ABITARE,1121-6328
COSTRUZIONI,0010-9665
COSTRUZIONI DUE,1971-5609
COSTRUZIONI METALLICHE,0010-9673
COSTRUZIONI PSICOANALITICHE,1721-9612
COURRIER DE LA PLANÈTE,1161-8043
CREATIVICITY,.
CRIOS,2279-8986
CRISTIANESIMO NELLA STORIA,0393-3598
CRITICA D'ARTE,0011-1511
CRONACHE CASTELLANE,0392-6575
CRONACHE ERCOLANESI,0391-1535
CRU,1722-8654
CUADERNOS DE INVESTIGACIÓN URBANÍSTICA,1886-6654
CULTURAL GEOGRAPHIES,1474-4740
CULTURE DELLA SOSTENIBILITÀ,1972-5817
CYBERGEO,1278-3366
